id,name,rank,supply,explorer,marketCapUsd
ethereum-classic,Ethereum Classic,43,151314087.68346614,http://gastracker.io/,2516755433.8775287
polygon-ecosystem-token,POL (prev. MATIC),44,10392099602.653427,https://etherscan.io/token/0x455e53CBB86018Ac2B8092FdCd39d8444aFFC3F6,2109448878.9105544
official-trump,Trump Official,45,199999429.360504,https://solscan.io/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,2017932366.9006064
vechain,VeChain,46,85985041177.0,https://explore.veforge.com/,1972372076.705628
bittensor,Bittensor,47,8534124.0,https://bittensor.com/scan,1968864590.6431537
ethena,Ethena,48,5285937500.0,Sin datos,1931516772.054979
gatetoken,GateToken,49,85826625.28368862,Sin datos,1914050754.4524488
celestia,Celestia,50,579488884.7562951,https://www.mintscan.io/celestia,1861481627.6244087
render,Render,51,517716590.0562826,Sin datos,1801854633.9552016
filecoin,Filecoin,52,646042539.0,https://protocol.ai,1767555384.7792513
kaspa,Kaspa,53,25938937607.71757,https://explorer.kaspa.org/,1667781804.2086878
cosmos,Cosmos,54,390934204.0,https://www.mintscan.io/,1654706339.0678902
algorand,Algorand,55,8530665694.649123,https://algoexplorer.io/,1572698970.098183
arbitrum,Arbitrum,56,4617913336.0,https://arbiscan.io/token/0x912CE59144191C1204E64559FE8253a0e49E6548,1541312353.2150977
dexe,DeXe,57,83733353.16057506,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,1467334025.4275591
fantom,Sonic (prev. FTM),58,2880000000.0,sonicscan.org,1410827960.660558
story-protocol,Story,59,258701717.0,www.storyscan.xyz,1369938502.8672657
kucoin-token,KuCoin Token,60,122543917.85133564,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811,1356745023.4707308
jupiter,Jupiter,61,2690911111.1,https://solscan.io/token/JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,1283915640.4706094
optimism-ethereum,Optimism,62,1620705846.0,https://optimistic.etherscan.io/token/0x4200000000000000000000000000000000000042,1246676762.6033561
fetch,Artificial Superintelligence Alliance,63,2520000000.0,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd,1191234770.1155107
movement,Movement,64,2450000000.0,Sin datos,1099987973.7117743
maker,Maker,65,848074.4183746701,https://etherscan.io/token/Maker,1097148630.1213932
xinfin-network,XDC Network,66,15692654414.55,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,1070156987.868036
immutable-x,Immutable X,67,1768317543.39,Sin datos,976331197.3122771
wbnb,Wrapped BNB,68,1582884.53984804,https://bscscan.com/token/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,961915715.5932056
stacks,Stacks,69,1519143324.9652,https://explorer.stacks.co/,951874736.5640842
worldcoin-org,Worldcoin,70,1212147111.2468452,Sin datos,944028010.9010398
usual-usd,Usual USD,71,900657124.0838901,https://etherscan.io/address/0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,898582459.0946836
bonk1,Bonk,72,77894175221082.55,Sin datos,885191982.2847631
sei,Sei,73,4882361111.0,Sin datos,882390168.3221568
the-graph,The Graph,74,9775189789.31821,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7,873887205.0400928
injective-protocol,Injective,75,98970935.41,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30,868354716.6944952
